id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado,prima_valida,monto_valido,comision_valida,fecha_valida,ids_validos
10,2026-01-24,2281,69,13,3,79138.0,,20710.0,True,True,True,True,True
26,2025-07-29,2295,71,11,4,61446.0,,36670.97,True,True,True,True,True
49,2025-08-11,1122,2,14,4,33732.0,69.59,47210.14,True,True,True,True,True
66,2025-03-04,1352,21,12,6,77633.0,147.21,112829.12,True,True,True,True,True
74,2025-01-04,2814,64,5,7,1.80988,358.53,279782.46,True,True,True,True,True
99,2025-05-12,490,57,1,1,71612.0,159.79,23929.67,True,True,True,True,True
164,2026-01-16,851,50,13,9,50192.0,,81059.4,True,True,True,True,True
191,2025-11-12,837,34,12,3,1.07604,173.48,144639.86,True,True,True,True,True
204,2025-11-27,2424,50,5,7,1614.32,388.18,80347.81,True,True,True,True,True
221,2025-03-15,2725,80,11,1,616.19,75.06,115464.32,True,True,True,True,True
230,2025-12-19,1245,6,13,3,23850.0,,44718.94,True,True,True,True,True
277,2025-06-04,2165,16,13,12,113.44,11.06,22028.53,True,True,True,True,True
280,2025-06-22,1387,76,1,4,15459.0,23.6,19097.08,True,True,True,True,True
285,2025-07-06,2457,37,9,5,1159.92,229.02,119625.01,True,True,True,True,True
322,2025-08-19,454,75,11,3,85081.0,,166822.37,True,True,True,True,True
327,2025-06-30,184,7,8,6,25639.0,36.77,17389.16,True,True,True,True,True
330,2025-07-15,2011,15,10,2,115876.0,,143147.74,True,True,True,True,True
336,2025-11-26,1444,54,3,10,550.34,,20954.52,True,True,True,True,True
414,2025-08-15,2278,72,11,12,86796.0,132.06,147649.9,True,True,True,True,True
431,2025-03-27,21,56,2,11,141467.0,,38629.85,True,True,True,True,True
461,2025-08-09,1607,49,10,5,1.39127,,260544.91,True,True,True,True,True
487,2025-06-15,777,20,1,10,183894.0,325.9,250058.9,True,True,True,True,True
488,2025-03-29,2538,78,15,4,46917.0,,68548.42,True,True,True,True,True
498,2025-06-07,843,7,14,11,18847.0,19.55,17873.98,True,True,True,True,True
514,2026-01-18,687,3,5,1,104669.0,81.8,95894.63,True,True,True,True,True
515,2025-03-15,2136,23,11,7,180877.0,450.96,326950.13,True,True,True,True,True
526,2026-02-08,284,65,10,8,1.53608,260.86,126568.35,True,True,True,True,True
610,2026-01-19,1252,20,8,4,149815.0,152.4,188713.37,True,True,True,True,True
619,2025-06-16,960,23,5,3,127306.0,229.64,183943.29,True,True,True,True,True
635,2025-04-26,95,61,3,5,1792.02,,214083.88,True,True,True,True,True
637,2025-12-12,2618,61,9,9,73810.0,,82512.43,True,True,True,True,True
638,2025-08-12,2820,21,3,4,857.92,,141656.39,True,True,True,True,True
671,2025-01-26,2212,62,6,7,149307.0,319.17,283016.51,True,True,True,True,True
689,2025-01-18,1858,4,6,2,1.60513,,150198.88,True,True,True,True,True
698,2025-11-29,1427,65,1,11,48927.0,88.6,28382.47,True,True,True,True,True
706,2025-05-26,1414,65,12,11,32970.0,76.02,31168.43,True,True,True,True,True
720,2025-08-07,2627,13,13,4,70783.0,170.65,30130.25,True,True,True,True,True
726,2026-01-30,1507,38,4,11,21637.0,,34994.41,True,True,True,True,True
733,2025-04-26,1495,77,6,2,97009.0,132.36,82527.5,True,True,True,True,True
764,2025-07-02,1319,65,9,3,1.71541,,204680.23,True,True,True,True,True
773,2025-02-13,1516,42,7,8,1.60525,170.35,195063.2,True,True,True,True,True
783,2026-02-14,2061,64,9,1,130584.0,189.76,83446.95,True,True,True,True,True
785,2025-08-10,1742,52,13,1,1.39954,92.82,58344.65,True,True,True,True,True
