id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado
1,,184,42,15,2,"829,53",N/A,139253.11
2,2026/02/16,2408,35,11,12,,"12,22","27.544,32"
3,02-14-25,540,42,4,9,1611.53,"92,05","173,298.36"
4,09-01-2026,2821,40,10,5,1866.62, 456.99 , 244461.27 
5,2026-02-13,945,23,9,11,-,"324,08", 123407.75 
6,05-02-25,1295,17,1,1, 943.49 ,N/A, 71968.43 
7,02-09-25,1254,25,11,4, 1400.82 ,188.40,258202.93
8,2026-01-11,887,77,3,8, 1670.56 ,258.75,-
9,2025-02-28,1670,66,8,12,N/A,"131,85", 125804.84 
10,2026/01/24,2281,69,13,3,791.38,"67,44", 20710.00 
11,21-03-2025,2590,25,8,4,N/A,-,-
12,19-10-2025,1521,14,11,5, 726.02 ,-, 86216.65 
13,19-08-2025,1527,9,14,9,708.37,"105,04","27,042.54"
14,01-20-26,367,65,1,11,0.00,122.12, 249504.31 
15,12-27-25,1954,62,13,4,"85,94",N/A,"7,574.33"
16,2025-01-07,424,19,5,11,-,39.07,-
17,10-09-25,856,73,14,8,832.85,,94675.98
18,15-01-2025,123,75,2,5,-, 39.57 ,"36.567,17"
19,05-19-25,1693,50,3,9, 1257.43 ,237.20,106454.95
20,03-26-25,522,32,1,3,487.69,"117,43",-
21,2026-01-13,179,34,2,9,"1,709.14","1,963.14",
22,09-07-25,2160,71,5,5,N/A,"172,42","124.757,66"
23,2025-03-21,61,19,3,5,"1.403,46","112,05",163649.61
24,26/04/2025,302,15,15,9,N/A,8.98, 15865.44 
25,13-02-2025,101,34,8,2,,"286,75", 269942.16 
26,2025/07/29,2295,71,11,4,614.46,"149,78",36670.97
27,06-25-25,352,30,3,6,-1290.55, 179.37 , 162227.75 
28,21/02/2025,1213,65,8,9, 464.73 ,"25,26", 18041.73 
29,,1101,7,8,12,N/A,54.06,
30,07-05-2025,2493,14,12,4,816.71,199.22,"106,724.98"
31,2025/08/07,1847,45,4,2,N/A,"229,13","117.309,88"
32,2025/07/28,388,22,6,4, 822.52 ,-,N/A
33,2025-09-18,1034,67,2,8, 73.63 , 13.25 ,"6,844.04"
34,2025-12-01,1969,41,10,5,-, 256.53 ,202107.44
35,19/01/2025,1139,79,1,3,"1,847.73",191.44,N/A
36,06/12/2025,2313,53,12,6,779.35,64.18,"95.204,18"
37,13-11-2025,2846,75,10,3,800.22,104.70, 66127.82 
38,04-21-25,2327,39,13,7,N/A,"113,68","156,124.02"
39,15-11-2025,629,62,11,7,N/A, 206.36 ,75584.63
40,08-09-25,25,47,6,9,1300.11, 189.22 ,-
41,11-10-25,3651,48,13,5,"816,63", 106.27 ,136809.90
42,,2455,31,5,11,"308,02","58,25","60,616.48"
43,2025-11-06,2657,8,6,1,-1261.22,"106,86", 248818.74 
44,,1701,10,14,10,946.36,153.66,153121.65
45,2025/12/11,2278,66,3,11, 1539.37 , 240.41 ,"114,732.26"
46,11-04-2025,2761,28,2,1,"564,21","57,82", 23965.61 
47,,2482,18,3,2,"1.555,60",242.77, 69252.65 
48,2025/07/16,259,29,14,1,, 46.88 , 55688.51 
49,2025/08/11,1122,2,14,4,337.32, 69.59 , 47210.14 
50,2025/02/22,717,49,15,10, 518.78 ,"86,45","66.871,99"
51,2025-06-04,2801,67,5,4,"1.612,80",321.59,"156,855.81"
52,2025-01-24,1746,33,1,10, 1429.69 ,78.50, 173202.87 
53,2025-09-29,1962,79,1,3, 0.00 ,305.78, 265915.68 
54,22-07-2025,2969,3,4,3, 421.01 ,63.89, 13911.37 
55,02-12-26,2340,26,10,6,1954.65,431.08,150219.71
56,03/09/2025,2767,28,7,8,"73,11",N/A,"7,064.28"
57,04-16-25,852,4,13,1,,N/A,"213,051.32"
58,03-29-25,454,6,15,8,N/A,213.26,"78,055.76"
59,02/01/2025,1934,18,1,2, 1253.51 ,-, 149260.92 
60,2026-01-26,3686,51,6,2,N/A,N/A,"28,102.81"
61,07/03/2025,1759,23,4,12,142.93,13.14,"3.134,79"
62,2025-12-16,584,36,4,8, 695.24 , 63.23 ,"28,262.23"
63,2025-03-05,3691,55,10,7, -1680.49 ,242.41, 238110.36 
64,20-07-2025,1081,75,8,1,"109,72",17.48,N/A
65,,697,67,1,10, 302.71 ,462.20,"25,597.06"
66,2025/03/04,1352,21,12,6,776.33, 147.21 , 112829.12 
67,22/11/2025,1246,31,6,5,N/A,359.79,258570.08
68,2025-02-14,475,43,13,3,"1,643.29",187.12, 235726.94 
69,2025-05-22,2178,76,1,4,N/A,20.56,"7.505,94"
70,03-09-25,730,78,15,4,N/A, 146.22 ,"147.931,73"
71,16/08/2025,3656,77,10,2, 258.60 ,"22,67","26.081,96"
72,2026-01-28,2797,14,2,7,"51,10",8.38,"9,228.48"
73,2025/03/01,841,26,7,12,-,-,"33,023.90"
74,2025/01/04,2814,64,5,7,"1,809.88", 358.53 ,279782.46
75,21/11/2025,1345,51,15,1,N/A,-,N/A
76,20-09-2025,2671,14,9,5,"1,563.09", 381.13 ,N/A
77,2025-11-12,2386,79,14,12,1324.27, 144.93 , 92440.33 
78,25-10-2025,698,55,3,7,1298.49,"305,47","92,537.75"
79,24-06-2025,2375,66,4,10,"1.055,66",N/A, 142122.95 
80,17-09-2025,914,64,6,7,"1,348.69",282.52, 44463.35 
81,2025-11-30,2745,13,13,11, 1688.38 ,-,"151,662.62"
82,2025/07/18,2392,21,3,4,"0,00",83.63,"33,866.99"
83,25-04-2025,357,18,15,11,"1,612.27","182,21",-
84,01-28-25,772,18,3,4,"572,28", 84.39 ,41526.61
85,18-03-2025,151,6,7,2,967.01,62.59,92114.86
86,10-10-2025,3714,32,15,11,1214.28,293.02,"56,519.26"
87,03-18-25,2217,98,11,12,"1.283,02",N/A,94028.85
88,06/03/2025,1671,28,12,6, 885.97 , 132.85 ,"95,429.55"
89,23/10/2025,2963,77,1,5, 1372.83 ,,"34,680.04"
90,,753,20,1,10, 916.04 ,219.65,129872.69
91,2025-06-24,2778,14,3,1, 158.84 ,26.50,9146.22
92,,2659,25,11,4,,325.08,191582.82
93,22-06-2025,919,4,8,2,"361,25",84.51, 9964.10 
94,04/02/2026,222,41,5,10,"1,141.34",169.15,-
95,01-18-26,106,11,3,7, 1953.28 , 313.86 ,356037.27
96,18/10/2025,1708,3,11,7, 1777.93 ,N/A,"176.358,08"
97,2025-08-29,2027,71,15,9, 558.70 ,77.27,"92,679.07"
98,,2106,65,10,8, 1909.32 ,153.95, 143459.97 
99,2025/05/12,490,57,1,1,716.12,159.79,23929.67
100,20/12/2025,2627,52,7,5,"1.998,94",487.51,-
101,2025-07-04,976,48,11,11,N/A,125.52,93713.30
102,,5,66,13,12, 1386.05 ,"204,00",251864.93
103,05-26-25,927,29,7,9,1179.01,231.56,150298.39
104,2025/10/20,3524,7,11,8, 149.44 ,10.64,"17,925.05"
105,27-12-2025,2797,80,3,1,"209,72",52.00,N/A
106,14/06/2025,2438,58,12,5,546.09,"110,32",44986.21
107,27-07-2025,1165,15,6,12,, 50.04 , 87472.59 
108,12-02-2026,1620,74,13,11,1235.45, 155.50 ,"50.330,02"
109,11-03-25,2693,6,13,6,N/A,184.48,"96.331,45"
110,12-01-2026,185,46,8,5,,31.43,74435.27
111,02-16-25,2833,8,15,12,,222.80,185637.48
112,2025-05-05,1463,74,7,2,1025.16,94.24,"171,583.25"
113,2025/12/03,1715,34,3,6,N/A,,
114,,1155,61,11,5, 1237.26 ,N/A, 124263.17 
115,11-02-2026,739,11,5,7, 203.12 , 17.60 ,-
116,2025-09-23,2659,80,8,10,"1,986.64","307,82",376125.57
117,2025-03-01,2501,18,12,10,,"2.636,59", 188099.37 
118,05-08-25,2114,78,1,2, 348.72 ,36.88,68328.79
119,07-04-25,1678,71,13,7,N/A,,"58.628,84"
120,29-04-2025,419,49,1,3,1427.78,N/A,"265,973.38"
121,26/05/2025,1222,59,14,6,N/A,, 141963.43 
122,2025/08/02,318,41,12,5,726.10,161.45,-
123,2025/09/25,721,44,3,2,"1.879,38", 437.85 ,-
124,2025-11-07,2155,40,3,9,"1,027.93",83.53,-
125,10-12-25,1886,12,13,12,"1,521.54", 127.08 , 234686.27 
126,2025-10-07,1595,18,7,9,N/A, 291.84 ,
127,05-18-25,1793,11,12,1, 843.06 ,154.42,"51.393,00"
128,08-06-25,711,25,11,3,N/A,379.89,175091.88
129,03-06-25,1894,29,12,11,1354.93,102.04,"161.419,79"
130,2025-06-25,1384,38,15,7,"1.066,35",208.25,155755.80
131,08-01-25,1953,72,9,2, 751.39 ,,"101.267,63"
132,2025/05/23,2110,34,12,11,"890,91","177,49",N/A
133,20/12/2025,1793,4,1,11, 1705.58 ,"389,27",107532.29
134,2025-09-07,1690,4,11,9,"1,209.55",N/A,42728.30
135,2026-01-24,1540,19,9,4,533.11,"71,90","70,594.31"
136,,1873,36,14,4, 685.85 ,"97,17",N/A
137,,2544,48,8,12,1837.21,"337,23","134.569,61"
138,29/11/2025,984,50,3,10,N/A,95.54,"58.320,88"
139,2025-03-09,2715,47,3,1,1887.69,-,"300,624.49"
140,2025/02/17,1227,48,8,5,"1.435,54", 163.56 ,"44,225.55"
141,01-14-25,2101,71,3,5,"1.904,59",167.05,"287,937.30"
142,,821,56,4,5,"1.305,77",272.72,"31.298,47"
143,02/09/2025,2342,41,10,10,"169,20","9,37", 31558.02 
144,01-05-25,354,71,15,10, 219.57 ,53.42,"8,891.18"
145,20/04/2025,2461,80,7,12,393.01,55.94,
146,2025/12/23,2899,27,9,2,-,-,143545.57
147,24/10/2025,1556,53,5,6,"357,68", 26.25 ,-
148,2025-12-23,848,13,8,3, 505.33 ,68.83,88566.14
149,02/12/2025,892,71,15,10,229.87,16.79,"25,541.31"
150,05-20-25,1080,76,6,7,104.24,"15,49", 6890.09 
151,2025-03-19,927,10,14,7,"1.524,01", 139.89 ,138665.57
152,07-04-2025,2349,79,7,4, 0.00 ,,"17,302.97"
153,2026-01-28,1016,28,12,8,"165,57",24.61,N/A
154,2025/04/12,1023,24,4,5,,-,"73,105.67"
155,05-05-25,1918,43,10,12,N/A,"9,96","3.222,28"
156,11-06-2025,462,28,10,2, 1793.62 ,-,"288,252.92"
157,08-10-2025,2910,63,4,7,"1.762,17",N/A, 96305.30 
158,08-04-25,1121,67,7,12,"985,24",189.50,N/A
159,2025/09/04,1637,5,2,5,748.78,"82,65","84,100.56"
160,26/12/2025,1554,9,2,7, 1101.08 ,81.10,"82.850,58"
161,,1392,35,7,6,"1,824.05", 155.21 , 167233.60 
162,15-02-2025,1094,4,4,5,1760.71,326.32,"235,475.60"
163,01-04-25,354,12,10,7,"1,304.88",101.17, 142724.83 
164,2026/01/16,851,50,13,9,501.92,"62,00",81059.40
165,2026-02-04,2934,78,10,2,842.46,"196,92",-
166,2025/05/09,2302,35,4,12,"1.924,36",409.10,"50.238,70"
167,02-20-26,743,77,6,5, 605.91 ,121.04, 58769.89 
168,06-25-25,691,65,1,1,"268,88", 65.44 ,-
169,,1166,41,10,3,-, 93.67 ,84578.57
170,18-12-2025,2800,6,1,2,917.66,131.25,177908.61
171,05-19-25,2320,39,9,5,225.23,,"16,197.54"
172,09-05-25,693,69,13,8, 1440.24 ,"319,57", 199499.58 
173,2025-12-31,1935,13,14,2,-,"116,08",128228.92
174,2026-01-05,9,63,12,10,-,70.76,11842.93
175,,2362,59,6,5,"386,30",78.61,"68,440.50"
176,12/09/2025,2956,62,5,9,"-1,365.65","333,57",149134.25
