id_siniestro,id_poliza,fecha_siniestro,monto_siniestro,estado
1,17400,16-10-2025,2092.59,ABIERTO
2,2465,01/08/2025,"7,076.25",Abierto
3,15785,19-09-2025, 702.27 ,cerrado
4,14299,27/09/2025, 274.63 ,Abierto
5,12908,01/12/2025,"9,377.69",Rechazado
6,5107,2026/02/10,"10,535.74",
7,3379,2025/08/16,"10,513.30",Abierto
8,23824,17-01-2025,2736.20,ABIERTO
9,18118,2025/08/27,N/A,cerrado
10,19947,2025/09/12,8801.03,Cerrado
11,6448,31/05/2025,"1.619,38",Abierto
12,4096,23/02/2026,N/A,Rechazado
13,3716,13-07-2025,-4274.39,Rechazado
14,8260,2025-09-08,,
15,19142,2025/01/29,14533.77,Abierto
16,16312,2025/10/02,,ABIERTO
17,2112,2025-08-01,"11.995,56",cerrado
18,4445,05-23-25,-,
19,5547,2025-10-10, 5714.06 ,cerrado
20,21508,08-29-25, 8867.02 ,
21,8637,2025-06-06,"4,335.01",Abierto
22,6924,16/11/2025, 10436.86 ,Cerrado
23,5261,10-15-25, 6636.22 ,Abierto
24,17180,13-06-2025, 6183.83 ,cerrado
25,719,25/12/2025,3257.92,
26,7930,2025-12-10, 1326.94 ,Abierto
27,22625,07-03-2025,141.77,
28,3123,10-08-25,N/A,Cerrado
29,18397,2025-12-19,1485.06,ABIERTO
30,20396,30/09/2025,,
31,14500,17/01/2026,-,Cerrado
32,20349,06-13-25,"-6,166.30",
33,2231,21-09-2025, 2443.90 ,Rechazado
34,14393,2025/03/30,-,Cerrado
35,15273,2025-01-03,"13,959.68",cerrado
36,16929,06-01-2025, 3649.94 ,cerrado
37,504,2025-09-15,"1.143,51",Rechazado
38,1202,21/10/2025,"2,154.09",Cerrado
39,551,2025/03/26,-,Abierto
40,8220,04-30-25,"1.081,73",cerrado
41,4657,2025/12/25,"9.268,60",
42,3586,31/01/2026,"11,247.07",
43,11680,05-13-25, 10535.93 ,cerrado
44,17906,22/06/2025,"8.580,31",ABIERTO
45,15100,27-01-2025,8761.24,ABIERTO
46,2860,13/07/2025,-,Rechazado
47,6904,2025/04/08,7795.35,ABIERTO
48,503,08-29-25,"3,740.29",Rechazado
49,12852,2025-01-11,4828.13,
50,25778,2025-10-18, 11437.50 ,
51,1344,15/08/2025,"14,278.06",
52,22187,08-19-25,"4,886.00",Cerrado
53,11106,06-23-25, 2182.44 ,Cerrado
54,14544,07-27-25,"2,132.56",cerrado
55,19232,2025/03/25,"5,517.33",
56,14610,27/11/2025,,Abierto
57,11757,09-04-25,"3.215,08",Cerrado
58,9803,23/03/2025,-,
59,4806,16/01/2025,"2,856.71",Cerrado
60,15711,2025/08/31,2916.65,Cerrado
61,16070,2025/12/06,-,
62,14407,2025-04-05,"8.013,21",cerrado
63,22281,2025/07/07,,
64,10093,2025-11-30,"11.004,28",cerrado
65,19562,2025-05-29,"14,057.33",cerrado
66,14064,25-03-2025,9842.05,Abierto
67,5049,26-05-2025,"13.723,01",Rechazado
68,4916,2025-11-20,5792.24,
69,14892,21/09/2025,14508.66,
70,18587,18/12/2025,"5.912,93",cerrado
71,19836,2025/01/14, 5377.67 ,
72,23320,20/02/2026,"7,245.79",
73,14099,09-05-25,11459.27,Abierto
74,3314,23/10/2025,14502.38,cerrado
75,9867,2025/08/16,"1.888,27",ABIERTO
76,18282,2025/08/02,,
77,8700,2025-09-05,"9.948,91",ABIERTO
78,4535,12/02/2026,"8,534.49",Cerrado
79,7460,2025-08-21, 11711.43 ,cerrado
80,23359,2025-02-24,,
81,10359,20/10/2025,,Cerrado
82,4048,21-02-2026, 9909.58 ,
83,16988,07-07-25,"14.090,71",
84,2227,26/09/2025,"10.158,82",Abierto
85,7153,2026/01/23,5079.34,
86,25554,13/03/2025,-,
87,23591,2025/03/09,1777.81,ABIERTO
88,14027,2025/03/18,10253.14,ABIERTO
89,12761,04-22-25,"14.870,71",ABIERTO
90,21277,2025-05-21, 6602.43 ,Rechazado
91,80,2025-12-09,"12.229,82",ABIERTO
92,13736,28/03/2025,N/A,
93,1928,31-01-2025,12706.47,ABIERTO
94,15160,01-14-25,"3,322.55",
95,17219,01-04-2025,4580.14,
96,17713,2026-02-21,"7,797.66",Abierto
97,13086,2025/01/01,-,Rechazado
98,19925,01-25-25,"1.228,19",
99,18399,27-06-2025,"2.077,75",Cerrado
100,24052,2025/03/16,"2.342,67",
101,24142,21-06-2025, 1602.59 ,ABIERTO
102,8858,2025/01/16, 5155.20 ,Cerrado
103,19170,2026/02/01,10183.94,
104,1153,2025/02/05,2580.40,
105,19541,28-09-2025, 4267.91 ,Cerrado
106,2501,2025/11/29, 511.10 ,ABIERTO
107,17613,20/06/2025, 11560.34 ,
108,1500,2025/01/01,N/A,ABIERTO
109,9413,2025/07/21,"4.356,60",Cerrado
110,16745,2025/03/27, 8484.21 ,Abierto
111,2641,12/04/2025, 11886.43 ,cerrado
112,6548,2025/10/27, 13134.70 ,cerrado
113,8649,01-22-26, 10126.28 ,Abierto
114,5370,10-03-2025,"7,762.70",cerrado
115,24834,2025/10/08,12189.58,ABIERTO
116,8222,05-04-25,-,Abierto
117,12941,12-12-2025,,ABIERTO
118,21719,28/02/2025,,ABIERTO
119,1874,2025-07-26,"5,171.14",
120,21805,2025/12/07,"12,403.48",Abierto
121,3645,10-04-25,13084.42,Rechazado
122,16832,09-03-25, 7489.48 ,
123,8567,09-22-25, 5749.70 ,Rechazado
124,4535,2025-12-15, 9389.56 ,
125,17509,2025-11-09, 1154.08 ,Cerrado
126,13007,10-17-25, 13629.62 ,Rechazado
127,424,29/07/2025, 1595.62 ,cerrado
128,24167,09-15-25,,
129,8836,02-03-25, 1652.79 ,Abierto
130,14357,08-30-25,N/A,Rechazado
131,21837,05/09/2025,"13,932.10",
132,1290,2025-03-01,"9,918.51",
133,5720,28/02/2025,-,Abierto
134,7223,22/04/2025,-,Abierto
135,24992,02-08-25,302.32,Abierto
136,9670,05-31-25,"6.040,15",cerrado
137,23959,2025/05/26,13295.74,Cerrado
138,22384,2025/11/10,"9.051,84",Abierto
139,21305,2025-12-12,12134.64,Rechazado
140,21427,2025-10-11,"12.522,96",Abierto
141,25512,26/12/2025,"8,366.08",ABIERTO
142,14587,2026-02-17,-,ABIERTO
143,2790,13-10-2025,-,Rechazado
144,7956,01/01/2025,"8,822.70",ABIERTO
145,5744,2025-07-24, 3902.65 ,Abierto
146,5630,16-02-2025,6370.38,Cerrado
147,3192,02-21-26, 9549.21 ,cerrado
148,9556,06-19-25,-,cerrado
149,9146,14/11/2025, 2981.78 ,ABIERTO
150,14981,31-01-2025,"13.415,37",Rechazado
151,2464,2025/02/14,"3,627.56",Cerrado
152,22723,09-09-2025,"9,937.98",Abierto
153,7402,26/03/2025,N/A,Abierto
154,11333,2026-01-07,N/A,
155,17654,2025-03-22,13419.79,
156,16853,09-03-2025,"1,390.48",ABIERTO
157,22187,03-04-25,4984.64,cerrado
158,8637,08/02/2025,12772.25,Rechazado
159,2123,12-11-2025,"6,450.16",Cerrado
160,13528,16-03-2025,3582.61,ABIERTO
161,12821,29/01/2025, 1663.96 ,
162,17558,16/12/2025, 2904.94 ,ABIERTO
163,3344,2026/02/01,,cerrado
164,3953,06-27-25, 14622.50 ,Cerrado
165,3478,03-20-25,"5.989,33",cerrado
166,3400,10-30-25, 11123.38 ,
167,19661,2025/10/29,5398.38,cerrado
168,6501,2025/10/20, 3552.32 ,cerrado
169,23178,04/12/2025,4944.75,cerrado
170,14794,2025-12-30,N/A,ABIERTO
171,6401,2025-11-02,"13.258,53",Rechazado
172,10449,29/03/2025,"3,349.56",Abierto
173,11295,24-04-2025,"12.085,03",Rechazado
174,25761,12/10/2025,"9,433.77",Rechazado
175,6907,06-12-2025,12028.02,
176,14992,03-10-25,7840.46,ABIERTO
177,15938,2025-11-25, 13797.55 ,
178,22497,2025/09/24,"12.188,69",cerrado
179,12699,2026-01-22,"1.452,35",
180,13273,15/01/2025, 14255.51 ,
181,3779,2025/05/19,"2,915.04",Abierto
182,6051,2025-07-15,"4.083,60",ABIERTO
183,15820,2025-06-27,N/A,Rechazado
184,13385,08-07-2025,5142.95,Rechazado
185,23960,2025/03/25,2485.00,cerrado
186,14257,14-01-2026,,Abierto
187,17116,2026/01/25,"8,263.06",Rechazado
188,9285,07-04-25,"3,554.71",
189,11691,2026-01-17,,Abierto
190,15565,2025/06/23,-,ABIERTO
