id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado,prima_valida,monto_valido,comision_valida,fecha_valida,ids_validos,motivo_rechazo
1,,184,42,15,2,829.53,,139253.11,True,True,True,False,True,fecha_invalida
2,2026-02-16,2408,35,11,12,,,,False,False,True,True,True,"prima_invalida,monto_invalido"
3,,540,42,4,9,161153.0,,,True,False,True,False,True,"fecha_invalida,monto_invalido"
4,,2821,40,10,5,186662.0,456.99,244461.27,True,True,True,False,True,fecha_invalida
5,,945,23,9,11,,,123407.75,False,True,True,False,True,"fecha_invalida,prima_invalida"
6,,1295,17,1,1,94349.0,,71968.43,True,True,True,False,True,fecha_invalida
7,,1254,25,11,4,140082.0,188.4,258202.93,True,True,True,False,True,fecha_invalida
8,,887,77,3,8,167056.0,258.75,,True,False,True,False,True,"fecha_invalida,monto_invalido"
9,,1670,66,8,12,,,125804.84,False,True,True,False,True,"fecha_invalida,prima_invalida"
11,,2590,25,8,4,,,,False,False,True,False,True,"fecha_invalida,prima_invalida,monto_invalido"
12,,1521,14,11,5,72602.0,,86216.65,True,True,True,False,True,fecha_invalida
13,,1527,9,14,9,70837.0,,,True,False,True,False,True,"fecha_invalida,monto_invalido"
14,,367,65,1,11,0.0,122.12,249504.31,True,True,True,False,True,fecha_invalida
15,,1954,62,13,4,85.94,,,True,False,True,False,True,"fecha_invalida,monto_invalido"
16,,424,19,5,11,,39.07,,False,False,True,False,True,"fecha_invalida,prima_invalida,monto_invalido"
17,,856,73,14,8,83285.0,,94675.98,True,True,True,False,True,fecha_invalida
18,,123,75,2,5,,39.57,,False,False,True,False,True,"fecha_invalida,prima_invalida,monto_invalido"
19,,1693,50,3,9,125743.0,237.2,106454.95,True,True,True,False,True,fecha_invalida
20,,522,32,1,3,48769.0,,,True,False,True,False,True,"fecha_invalida,monto_invalido"
21,,179,34,2,9,1.70914,,,True,False,True,False,True,"fecha_invalida,monto_invalido"
22,,2160,71,5,5,,,,False,False,True,False,True,"fecha_invalida,prima_invalida,monto_invalido"
23,,61,19,3,5,1403.46,,163649.61,True,True,True,False,True,fecha_invalida
24,,302,15,15,9,,8.98,15865.44,False,True,True,False,True,"fecha_invalida,prima_invalida"
25,,101,34,8,2,,,269942.16,False,True,True,False,True,"fecha_invalida,prima_invalida"
27,,352,30,3,6,-129055.0,179.37,162227.75,False,True,True,False,True,"fecha_invalida,prima_invalida"
28,,1213,65,8,9,46473.0,,18041.73,True,True,True,False,True,fecha_invalida
29,,1101,7,8,12,,54.06,,False,False,True,False,True,"fecha_invalida,prima_invalida,monto_invalido"
30,,2493,14,12,4,81671.0,199.22,,True,False,True,False,True,"fecha_invalida,monto_invalido"
31,2025-08-07,1847,45,4,2,,,,False,False,True,True,True,"prima_invalida,monto_invalido"
32,2025-07-28,388,22,6,4,82252.0,,,True,False,True,True,True,monto_invalido
33,,1034,67,2,8,7363.0,13.25,,True,False,True,False,True,"fecha_invalida,monto_invalido"
34,,1969,41,10,5,,256.53,202107.44,False,True,True,False,True,"fecha_invalida,prima_invalida"
35,,1139,79,1,3,1.84773,191.44,,True,False,True,False,True,"fecha_invalida,monto_invalido"
36,,2313,53,12,6,77935.0,64.18,,True,False,True,False,True,"fecha_invalida,monto_invalido"
37,,2846,75,10,3,80022.0,104.7,66127.82,True,True,True,False,True,fecha_invalida
38,,2327,39,13,7,,,,False,False,True,False,True,"fecha_invalida,prima_invalida,monto_invalido"
39,,629,62,11,7,,206.36,75584.63,False,True,True,False,True,"fecha_invalida,prima_invalida"
40,,25,47,6,9,130011.0,189.22,,True,False,True,False,True,"fecha_invalida,monto_invalido"
41,,3651,48,13,5,816.63,106.27,136809.9,True,True,True,False,True,fecha_invalida
42,,2455,31,5,11,308.02,,,True,False,True,False,True,"fecha_invalida,monto_invalido"
43,,2657,8,6,1,-126122.0,,248818.74,False,True,True,False,True,"fecha_invalida,prima_invalida"
44,,1701,10,14,10,94636.0,153.66,153121.65,True,True,True,False,True,fecha_invalida
45,2025-12-11,2278,66,3,11,153937.0,240.41,,True,False,True,True,True,monto_invalido
46,,2761,28,2,1,564.21,,23965.61,True,True,True,False,True,fecha_invalida
47,,2482,18,3,2,1555.6,242.77,69252.65,True,True,True,False,True,fecha_invalida
48,2025-07-16,259,29,14,1,,46.88,55688.51,False,True,True,True,True,prima_invalida
50,2025-02-22,717,49,15,10,51878.0,,,True,False,True,True,True,monto_invalido
51,,2801,67,5,4,1612.8,321.59,,True,False,True,False,True,"fecha_invalida,monto_invalido"
52,,1746,33,1,10,142969.0,78.5,173202.87,True,True,True,False,True,fecha_invalida
53,,1962,79,1,3,0.0,305.78,265915.68,True,True,True,False,True,fecha_invalida
54,,2969,3,4,3,42101.0,63.89,13911.37,True,True,True,False,True,fecha_invalida
55,,2340,26,10,6,195465.0,431.08,150219.71,True,True,True,False,True,fecha_invalida
56,,2767,28,7,8,73.11,,,True,False,True,False,True,"fecha_invalida,monto_invalido"
57,,852,4,13,1,,,,False,False,True,False,True,"fecha_invalida,prima_invalida,monto_invalido"
58,,454,6,15,8,,213.26,,False,False,True,False,True,"fecha_invalida,prima_invalida,monto_invalido"
59,,1934,18,1,2,125351.0,,149260.92,True,True,True,False,True,fecha_invalida
60,,3686,51,6,2,,,,False,False,True,False,True,"fecha_invalida,prima_invalida,monto_invalido"
61,,1759,23,4,12,14293.0,13.14,,True,False,True,False,True,"fecha_invalida,monto_invalido"
62,,584,36,4,8,69524.0,63.23,,True,False,True,False,True,"fecha_invalida,monto_invalido"
63,,3691,55,10,7,-168049.0,242.41,238110.36,False,True,True,False,True,"fecha_invalida,prima_invalida"
64,,1081,75,8,1,109.72,17.48,,True,False,True,False,True,"fecha_invalida,monto_invalido"
65,,697,67,1,10,30271.0,462.2,,True,False,True,False,True,"fecha_invalida,monto_invalido"
67,,1246,31,6,5,,359.79,258570.08,False,True,True,False,True,"fecha_invalida,prima_invalida"
68,,475,43,13,3,1.64329,187.12,235726.94,True,True,True,False,True,fecha_invalida
69,,2178,76,1,4,,20.56,,False,False,True,False,True,"fecha_invalida,prima_invalida,monto_invalido"
70,,730,78,15,4,,146.22,,False,False,True,False,True,"fecha_invalida,prima_invalida,monto_invalido"
71,,3656,77,10,2,25860.0,,,True,False,True,False,True,"fecha_invalida,monto_invalido"
72,,2797,14,2,7,51.1,8.38,,True,False,True,False,True,"fecha_invalida,monto_invalido"
73,2025-03-01,841,26,7,12,,,,False,False,True,True,True,"prima_invalida,monto_invalido"
75,,1345,51,15,1,,,,False,False,True,False,True,"fecha_invalida,prima_invalida,monto_invalido"
76,,2671,14,9,5,1.56309,381.13,,True,False,True,False,True,"fecha_invalida,monto_invalido"
77,,2386,79,14,12,132427.0,144.93,92440.33,True,True,True,False,True,fecha_invalida
78,,698,55,3,7,129849.0,,,True,False,True,False,True,"fecha_invalida,monto_invalido"
79,,2375,66,4,10,1055.66,,142122.95,True,True,True,False,True,fecha_invalida
80,,914,64,6,7,1.34869,282.52,44463.35,True,True,True,False,True,fecha_invalida
81,,2745,13,13,11,168838.0,,,True,False,True,False,True,"fecha_invalida,monto_invalido"
